Year,planted,harvested,production
1926,240051,214796,8444000
1927,244093,218623,9338000
1928,250513,231219,10121000
1929,252669,237480,11500000
1930,259549,240998,8837000
1931,264140,248336,8312000
1932,262350,251645,11701000
1933,265033,253165,10624000
1934,218169,191857,5034000
1935,218169,191857,5034000
1936,245370,110973,890000
1937,232944,211395,6900000
1938,224053,213189,7755000
1939,206281,198415,8270000
1940,202556,196963,9615000
1941,202131,197645,10075000
1942,223000,215400,12955000
1943,248400,234000,12365000
1944,258700,244600,13061000
1945,234700,224500,10354000
1946,238400,230900,12848000
1947,227500,202300,6577000
1948,230800,222100,12683000
1949,240800,235900,10773000
1950,204700,201400,10481000
1951,210000,197600,7947000
1952,212500,207000,12644000
1953,228200,224400,10613000
1954,217100,206700,7021000
1955,215100,204700,7751000
1956,202200,192200,7562000
1957,204000,199800,11413000
1958,197800,194200,12577000
1959,248000,244200,15726000
1960,264800,260900,17454000
1961,206400,202800,14068000
1962,200900,195600,15637000
1963,221000,213100,14781000
1964,183900,179000,12460000
1965,193300,187600,16230000
1966,202200,194600,17488000
1967,245300,220500,19146000
1968,196300,185000,14319000
1969,188000,178000,18868000
1970,204100,193400,17213000
1971,238700,224900,22517000
1972,223000,209300,24099000
1973,244200,230700,24737000
1974,279700,243700,10651000
1975,237000,217500,15114000
1976,238700,221100,20948000
1977,241300,223400,19275000
1978,235000,220000,26150000
1979,224000,214000,27200000
1980,259000,245000,24100000
1981,255000,241200,27039000
1982,232000,219500,25390000
1983,156000,147200,12571000
1984,256000,246900,28887000
1985,260000,255900,34675000
1986,231000,228700,31280000
1987,202000,198300,27130000
1988,206000,202300,19990000
1989,231000,226700,22780000
1990,239000,235200,28433000
1991,239000,235800,32110000
1992,247000,243200,37944000
1993,229000,213500,17310000
1994,239000,234600,35036000
1995,227000,221300,23726000
1996,221000,217000,29480000
1997,226300,223000,29484000
1998,240100,234300,32675000
1999,222000,217000,30335000
2000,225000,220400,30667000
2001,220000,215100,29678000
2002,225500,221500,31000000
2003,220000,216500,27500000
2004,226500,223000,42300000
2005,225000,221500,37899000
2006,221000,216000,37065000
2007,241000,236500,38401000
2008,227500,224000,39900000
2009,242000,240000,46513000
2010,232000,228500,37650000
2011,248500,233000,39820000
